"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
20,"1000000000","0111111111","0111011101","1111111111",0.460938,0.004163,0.00422,0.00422,0.0,0.0,0.0,"⎛ C ⎞⎛   B,D,F,G,H,J   ⎞\n⎝ J ⎠⎝ B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
21,"1000000000","0111111111","0111011101","0111011101",0.001953,0.009855,0.010084,0.010084,0.0,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
22,"1000000000","0111111111","0111011101","0101010101",0.015625,0.007035,0.007168,0.007168,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
23,"1000000000","0111111111","0111011101","1010101010",0.001953,0.006529,0.00663,0.006614,1.6e-05,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
24,"1000000000","0111111111","0101010101","1111111111",0.0,0.018749,0.019036,0.019036,0.0,0.0,0.0,"⎛ ∅ ⎞⎛    B,D,F,H,J    ⎞\n⎝ J ⎠⎝ B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
25,"1000000000","0111111111","0101010101","0111011101",0.005859,0.008134,0.008261,0.008261,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
26,"1000000000","0111111111","0101010101","0101010101",0.015625,0.007382,0.00751,0.00751,0.0,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
27,"1000000000","0111111111","0101010101","1010101010",0.021484,0.006357,0.006495,0.006483,1.2e-05,0.0,0.0,"⎛ B ⎞⎛ D,F,H,J ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
28,"1000000000","0111111111","1010101010","1111111111",0.464844,0.00561,0.005645,0.005645,0.0,0.008,0.0,"⎛ E ⎞⎛      C,G,I      ⎞\n⎝ B ⎠⎝ C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
29,"1000000000","0111111111","1010101010","0111011101",0.001953,0.005306,0.005367,0.005367,0.0,0.0,0.0,"⎛ C ⎞⎛     E,G,I     ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
