"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
20,"1000000000","0111111111","0111011101","1111111111",0.460938,4.140351,4.140587,4.088635,0.051952,0.0,0.0,"⎛   B,D,F,G,H,J   ⎞⎛ C ⎞\n⎝ B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
21,"1000000000","0111111111","0111011101","0111011101",0.001953,1.076293,1.076726,1.064711,0.012015,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
22,"1000000000","0111111111","0111011101","0101010101",0.015625,0.305448,0.306055,0.306055,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
23,"1000000000","0111111111","0111011101","1010101010",0.001953,0.150497,0.150898,0.150849,4.9e-05,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
24,"1000000000","0111111111","0101010101","1111111111",0.0,1.072882,1.073393,1.069416,0.003977,0.0,0.0,"⎛    B,D,F,H,J    ⎞⎛ ∅ ⎞\n⎝ B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
25,"1000000000","0111111111","0101010101","0111011101",0.005859,0.28908,0.289328,0.285306,0.004022,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
26,"1000000000","0111111111","0101010101","0101010101",0.015625,0.098279,0.098862,0.098862,0.0,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
27,"1000000000","0111111111","0101010101","1010101010",0.021484,0.058932,0.059282,0.059282,0.0,0.0,0.0,"⎛ B ⎞⎛ D,F,H,J ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
28,"1000000000","0111111111","1010101010","1111111111",0.464844,0.548068,0.548462,0.544452,0.00401,0.0,0.0,"⎛ E ⎞⎛      C,G,I      ⎞\n⎝ B ⎠⎝ C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
29,"1000000000","0111111111","1010101010","0111011101",0.001953,0.164565,0.165238,0.165238,0.0,0.0,0.0,"⎛ C ⎞⎛     E,G,I     ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
