"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"1000000000","1111111111","1111111111","1111111111",0.478516,0.12128,0.128912,0.112996,0.015916,0.223,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"1000000000","1111111111","1111111111","0111011101",0.016602,0.092441,0.093049,0.093028,2.1e-05,0.285,0.0,"⎛ H ⎞⎛ A,B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"1000000000","1111111111","1111111111","0101010101",0.000977,0.074317,0.074696,0.070748,0.003948,0.176,0.0,"⎛ F ⎞⎛ A,B,C,D,E,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"1000000000","1111111111","1111111111","1010101010",0.014648,0.071545,0.07194,0.07194,0.0,0.0,0.0,"⎛ A ⎞⎛ B,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"1000000000","1111111111","0111011101","1111111111",0.464844,0.104267,0.104845,0.104829,1.6e-05,0.148,0.0,"⎛ C ⎞⎛    B,D,F,G,H,J    ⎞\n⎝ J ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"1000000000","1111111111","0111011101","0111011101",0.016602,0.084824,0.085309,0.085309,0.0,0.262,0.0,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"1000000000","1111111111","0111011101","0101010101",0.000977,0.25967,0.260815,0.252794,0.008021,0.234,0.0,"⎛ F ⎞⎛ B,C,D,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"1000000000","1111111111","0111011101","1010101010",0.020508,0.039384,0.039739,0.039739,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"1000000000","1111111111","0101010101","1111111111",0.0,0.080668,0.081087,0.081087,0.0,0.0,0.0,"⎛ ∅ ⎞⎛     B,D,F,H,J     ⎞\n⎝ J ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"1000000000","1111111111","0101010101","0111011101",0.016602,0.062576,0.062982,0.062982,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"1000000000","1111111111","0101010101","0101010101",0.000977,0.051387,0.05189,0.05189,0.0,0.0,0.0,"⎛ F ⎞⎛  B,D,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
11,"1000000000","1111111111","0101010101","1010101010",0.021484,0.027495,0.027749,0.027749,0.0,0.004,0.0,"⎛ B ⎞⎛  D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
12,"1000000000","1111111111","1010101010","1111111111",0.478516,0.076204,0.076755,0.069097,0.007658,0.0,0.0,"⎛ E ⎞⎛       A,C,G,I       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
13,"1000000000","1111111111","1010101010","0111011101",0.020508,0.061519,0.062019,0.061945,7.4e-05,0.0,0.0,"⎛ C ⎞⎛    A,E,G,I    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
14,"1000000000","1111111111","1010101010","0101010101",0.008789,0.035653,0.035931,0.035931,0.0,0.0,0.0,"⎛ G ⎞⎛  A,C,E,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
15,"1000000000","1111111111","1010101010","1010101010",0.014648,0.032907,0.033226,0.033226,0.0,0.0,0.0,"⎛ A ⎞⎛  C,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
16,"1000000000","0111111111","1111111111","1111111111",0.478516,0.109721,0.110166,0.106456,0.00371,0.0,0.0,"⎛ E ⎞⎛  B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
17,"1000000000","0111111111","1111111111","0111011101",0.001953,0.089376,0.089786,0.089726,6e-05,0.0,0.0,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
18,"1000000000","0111111111","1111111111","0101010101",0.015625,0.070914,0.071239,0.071239,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    B,D,F,H,J    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
19,"1000000000","0111111111","1111111111","1010101010",0.001953,0.055126,0.055504,0.055504,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
20,"1000000000","0111111111","0111011101","1111111111",0.460938,0.093852,0.094411,0.086461,0.00795,0.0,0.0,"⎛ C ⎞⎛   B,D,F,G,H,J   ⎞\n⎝ J ⎠⎝ B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
21,"1000000000","0111111111","0111011101","0111011101",0.001953,0.078439,0.078936,0.078936,0.0,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
22,"1000000000","0111111111","0111011101","0101010101",0.015625,0.064592,0.06498,0.064979,1e-06,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
23,"1000000000","0111111111","0111011101","1010101010",0.001953,0.039714,0.040026,0.040026,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
24,"1000000000","0111111111","0101010101","1111111111",0.0,0.075409,0.07599,0.07599,0.0,0.0,0.0,"⎛ ∅ ⎞⎛    B,D,F,H,J    ⎞\n⎝ J ⎠⎝ B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
25,"1000000000","0111111111","0101010101","0111011101",0.005859,0.057811,0.058176,0.058176,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
