"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"1000000000","1111111111","1111111111","1111111111",0.478516,0.003064,0.003079,0.003079,0.0,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"1000000000","1111111111","1111111111","0111011101",0.016602,0.00315,0.003237,0.003237,0.0,0.0,0.0,"⎛ H ⎞⎛ A,B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H,J   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"1000000000","1111111111","1111111111","0101010101",0.000977,0.002233,0.002325,0.002325,0.0,0.0,0.0,"⎛ F ⎞⎛ A,B,C,D,E,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     B,D,F,H,J     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"1000000000","1111111111","1111111111","1010101010",0.014648,0.001849,0.002044,0.002044,0.0,0.0,0.0,"⎛ A ⎞⎛ B,C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     A,C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"1000000000","1111111111","0111011101","1111111111",0.464844,0.006302,0.006325,0.006325,0.0,0.0,0.0,"⎛    B,D,F,G,H,J    ⎞⎛ C ⎞\n⎝ A,B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"1000000000","1111111111","0111011101","0111011101",0.016602,0.001725,0.001846,0.0,0.001846,0.0,0.0,"⎛ H ⎞⎛  B,C,D,F,G,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"1000000000","1111111111","0111011101","0101010101",0.000977,0.009988,0.010538,0.010538,0.0,0.0,0.0,"⎛ F ⎞⎛ B,C,D,G,H,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"1000000000","1111111111","0111011101","1010101010",0.020508,0.011213,0.011412,0.011412,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝  A,C,E,G,I  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"1000000000","1111111111","0101010101","1111111111",0.0,0.007736,0.007931,0.007931,0.0,0.0,0.0,"⎛     B,D,F,H,J     ⎞⎛ ∅ ⎞\n⎝ A,B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"1000000000","1111111111","0101010101","0111011101",0.016602,0.001558,0.001675,0.001675,0.0,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"1000000000","1111111111","0101010101","0101010101",0.000977,0.009332,0.009495,0.009464,3.1e-05,0.0,0.0,"⎛ F ⎞⎛  B,D,H,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
11,"1000000000","1111111111","0101010101","1010101010",0.021484,0.001382,0.001436,0.001436,0.0,0.0,0.0,"⎛ B ⎞⎛  D,F,H,J  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
12,"1000000000","1111111111","1010101010","1111111111",0.478516,0.01224,0.012611,0.012611,0.0,0.0,0.0,"⎛ E ⎞⎛       A,C,G,I       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
13,"1000000000","1111111111","1010101010","0111011101",0.020508,0.002481,0.002578,0.002578,0.0,0.0,0.0,"⎛ C ⎞⎛    A,E,G,I    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
14,"1000000000","1111111111","1010101010","0101010101",0.008789,0.007835,0.008179,0.008179,0.0,0.0,0.0,"⎛ G ⎞⎛  A,C,E,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
15,"1000000000","1111111111","1010101010","1010101010",0.014648,0.01042,0.010693,0.010693,0.0,0.0,0.0,"⎛ A ⎞⎛  C,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
16,"1000000000","0111111111","1111111111","1111111111",0.478516,0.012092,0.012498,0.012478,2e-05,0.0,0.0,"⎛ E ⎞⎛  B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
17,"1000000000","0111111111","1111111111","0111011101",0.001953,0.009971,0.010228,0.010228,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
18,"1000000000","0111111111","1111111111","0101010101",0.015625,0.012313,0.012686,0.012686,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    B,D,F,H,J    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
19,"1000000000","0111111111","1111111111","1010101010",0.001953,0.007982,0.008263,0.008263,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
20,"1000000000","0111111111","0111011101","1111111111",0.460938,0.003937,0.00404,0.004038,2e-06,0.0,0.0,"⎛   B,D,F,G,H,J   ⎞⎛ C ⎞\n⎝ B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
21,"1000000000","0111111111","0111011101","0111011101",0.001953,0.0204,0.020829,0.020829,0.0,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
22,"1000000000","0111111111","0111011101","0101010101",0.015625,0.002042,0.002152,0.002152,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
23,"1000000000","0111111111","0111011101","1010101010",0.001953,0.013455,0.013767,0.013767,0.0,0.0,0.0,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
24,"1000000000","0111111111","0101010101","1111111111",0.0,0.013461,0.013741,0.013741,0.0,0.0,0.0,"⎛    B,D,F,H,J    ⎞⎛ ∅ ⎞\n⎝ B,C,D,E,F,G,H,I ⎠⎝ J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
25,"1000000000","0111111111","0101010101","0111011101",0.005859,0.011824,0.012085,0.012083,2e-06,0.0,0.0,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
26,"1000000000","0111111111","0101010101","0101010101",0.015625,0.009558,0.00993,0.009845,8.5e-05,0.0,0.0,"⎛ J ⎞⎛  B,D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
27,"1000000000","0111111111","0101010101","1010101010",0.021484,0.006114,0.006266,0.006266,0.0,0.0,0.0,"⎛ B ⎞⎛ D,F,H,J ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
28,"1000000000","0111111111","1010101010","1111111111",0.464844,0.003681,0.003815,0.0,0.003815,0.0,0.0,"⎛ E ⎞⎛      C,G,I      ⎞\n⎝ B ⎠⎝ C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
