"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"100","111","111","111",0.078677,0.950951,4.723243,4.319165,0.404078,413.469,0.0,"⎛ B ⎞⎛  A,C  ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"100","111","111","011",0.101493,0.002941,0.003288,0.003288,0.0,0.0,0.0,"⎛ B ⎞⎛ A,C ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"100","111","111","010",0.070742,0.00165,0.001785,0.0017,8.5e-05,0.0,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝  B  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"100","111","111","101",0.010423,0.002528,0.002702,0.002702,0.0,0.0,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"100","111","011","111",0.078677,0.009089,0.009338,0.009309,2.9e-05,0.246,0.0,"⎛ B ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"100","111","011","011",0.091156,0.002983,0.003345,0.003303,4.2e-05,0.0,0.0,"⎛ C ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"100","111","011","010",0.135513,0.001583,0.001757,0.001757,0.0,0.0,0.0,"⎛ B ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"100","111","011","101",0.034224,0.001896,0.002139,0.002139,0.0,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"100","111","010","111",0.008958,0.009325,0.009826,0.009826,0.0,0.262,0.0,"⎛  ∅  ⎞⎛ B ⎞\n⎝ A,B ⎠⎝ C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"100","111","010","011",0.013858,0.002272,0.002402,0.002351,5.1e-05,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"100","111","010","010",0.135513,0.001599,0.001831,0.001766,6.5e-05,0.0,0.0,"⎛ B ⎞⎛ ∅ ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
11,"100","111","010","101",0.034224,0.002164,0.002385,0.002271,0.000114,0.0,0.0,"⎛ B ⎞⎛  ∅  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
12,"100","111","101","111",0.160238,0.008008,0.008421,0.008421,0.0,0.0,0.0,"⎛ A ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
13,"100","111","101","011",0.176454,0.016003,0.016297,0.016276,2.1e-05,0.258,0.0,"⎛ A ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
14,"100","111","101","010",0.070742,0.001636,0.001801,0.0,0.001801,0.0,0.0,"⎛ A ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
15,"100","111","101","101",0.010423,0.002344,0.002556,0.002433,0.000123,0.0,0.0,"⎛ A ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
