"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"100","111","111","111",0.078677,0.318105,5.139376,4.99222,0.147156,32.145,0.0,"⎛ B ⎞⎛  A,C  ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"100","111","111","011",0.101493,0.00106,0.001279,0.001251,2.8e-05,0.0,0.0,"⎛ B ⎞⎛ A,C ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"100","111","111","010",0.070742,0.000994,0.001073,0.001064,9e-06,0.0,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝  B  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"100","111","111","101",0.010423,0.001591,0.001797,0.0,0.001797,0.0,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"100","111","011","111",0.078677,0.001571,0.001781,0.001742,3.9e-05,0.0,0.0,"⎛ B ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"100","111","011","011",0.091156,0.001561,0.001735,0.001735,0.0,0.0,0.0,"⎛ C ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"100","111","011","010",0.135513,0.001306,0.001501,0.001485,1.6e-05,0.0,0.0,"⎛ B ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"100","111","011","101",0.034224,0.008497,0.008712,0.008712,0.0,0.0,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"100","111","010","111",0.008958,0.001502,0.001668,0.001668,0.0,0.0,0.0,"⎛ B ⎞⎛  ∅  ⎞\n⎝ C ⎠⎝ A,B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"100","111","010","011",0.013858,0.001464,0.001625,0.001625,0.0,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"100","111","010","010",0.135513,0.001327,0.001552,0.001552,0.0,0.0,0.0,"⎛ B ⎞⎛ ∅ ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
