"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"100","111","111","111",0.078677,2.63567,2.675075,2.602808,0.072267,162.801,0.0,"⎛ B ⎞⎛  A,C  ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"100","111","111","011",0.101493,0.012139,0.01243,0.012408,2.2e-05,0.062,0.0,"⎛ B ⎞⎛ A,C ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"100","111","111","010",0.070742,0.030021,0.030436,0.018376,0.01206,0.016,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝  B  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"100","111","111","101",0.010423,0.028036,0.028554,0.024639,0.003915,0.039,0.0,"⎛ A ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"100","111","011","111",0.078677,0.013452,0.013852,0.013762,9e-05,0.0,0.0,"⎛ B ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"100","111","011","011",0.091156,0.015626,0.016054,0.016054,0.0,0.016,0.0,"⎛ B ⎞⎛ C ⎞\n⎝ C ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"100","111","011","010",0.135513,0.007848,0.008206,0.008196,1e-05,0.02,0.0,"⎛ B ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"100","111","011","101",0.034224,0.016146,0.016506,0.016506,0.0,0.016,0.0,"⎛ B ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"100","111","010","111",0.022816,0.097324,0.097862,0.093803,0.004059,0.008,0.0,"⎛ ∅ ⎞⎛  B  ⎞\n⎝ A ⎠⎝ B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"100","111","010","011",0.013858,0.004714,0.004987,0.004987,0.0,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"100","111","010","010",0.135513,0.002759,0.002968,0.002899,6.9e-05,0.0,0.0,"⎛ ∅ ⎞⎛ B ⎞\n⎝ B ⎠⎝ ∅ ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
11,"100","111","010","101",0.034224,0.011374,0.011563,0.011563,0.0,0.047,0.0,"⎛ B ⎞⎛  ∅  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
12,"100","111","101","111",0.160238,0.025834,0.026276,0.026276,0.0,0.23,0.0,"⎛ A ⎞⎛   C   ⎞\n⎝ ∅ ⎠⎝ A,B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
13,"100","111","101","011",0.176454,0.009689,0.010122,0.010083,3.9e-05,0.0,0.0,"⎛ A ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ B,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
14,"100","111","101","010",0.070742,0.011463,0.011832,0.011783,4.9e-05,0.0,0.0,"⎛ A ⎞⎛ C ⎞\n⎝ ∅ ⎠⎝ B ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
15,"100","111","101","101",0.010423,0.010651,0.010824,0.010824,0.0,0.0,0.0,"⎛ A ⎞⎛  C  ⎞\n⎝ ∅ ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
