"indice","estado","condicion","alcance","mecanismo","perdida","tiempo","particion","plataforma"
22,"1000000000","0111111111","0111011101","0101010101",0.017896,0.0757,"⎛ H ⎞⎛ B,C,D,F,G,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
23,"1000000000","0111111111","0111011101","1010101010",0.004358,0.0559,"⎛ C ⎞⎛ B,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
24,"1000000000","0111111111","0101010101","1111111111",0.116661,0.0948,"⎛ B ⎞⎛      D,F,H,J      ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
25,"1000000000","0111111111","0101010101","0111011101",0.00781,0.078,"⎛ H ⎞⎛    B,D,F,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
26,"1000000000","0111111111","0101010101","0101010101",0.017896,0.0632,"⎛ H ⎞⎛  B,D,F,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
27,"1000000000","0111111111","0101010101","1010101010",0.024557,0.0405,"⎛ F ⎞⎛ B,D,H,J ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
28,"1000000000","0111111111","1010101010","1111111111",0.240002,0.0832,"⎛ G ⎞⎛       C,E,I       ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
29,"1000000000","0111111111","1010101010","0111011101",0.00407,0.0553,"⎛ E ⎞⎛     C,G,I     ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
30,"1000000000","0111111111","1010101010","0101010101",0.037189,0.1427,"⎛ ∅ ⎞⎛ C,E,G,I ⎞\n⎝ F ⎠⎝ B,D,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
31,"1000000000","0111111111","1010101010","1010101010",0.004358,0.0478,"⎛ C ⎞⎛  E,G,I  ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
32,"1000000000","1111111110","1111111111","1111111111",0.081876,0.1483,"⎛ B ⎞⎛  A,C,D,E,F,G,H,I  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
33,"1000000000","1111111110","1111111111","0111011101",0.004983,0.1229,"⎛ I ⎞⎛ A,B,C,D,E,F,G,H ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H   ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
34,"1000000000","1111111110","1111111111","0101010101",0.007379,0.0791,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝     B,D,F,H     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
35,"1000000000","1111111110","1111111111","1010101010",0.022175,0.0949,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    A,C,E,G,I    ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
36,"1000000000","1111111110","0111011101","1111111111",0.081876,0.1181,"⎛ B ⎞⎛     C,D,F,G,H     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
37,"1000000000","1111111110","0111011101","0111011101",0.005772,0.0793,"⎛ G ⎞⎛  B,C,D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
38,"1000000000","1111111110","0111011101","0101010101",0.007379,0.0556,"⎛ C ⎞⎛ B,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
39,"1000000000","1111111110","0111011101","1010101010",0.022175,0.0611,"⎛ B ⎞⎛ C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
40,"1000000000","1111111110","0101010101","1111111111",0.081876,0.0801,"⎛ B ⎞⎛       D,F,H       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
41,"1000000000","1111111110","0101010101","0111011101",0.034351,0.0636,"⎛ H ⎞⎛    B,D,F    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
42,"1000000000","1111111110","0101010101","0101010101",0.009039,0.0412,"⎛ B ⎞⎛  D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
43,"1000000000","1111111110","0101010101","1010101010",0.022175,0.0396,"⎛ B ⎞⎛   D,F,H   ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
44,"1000000000","1111111110","1010101010","1111111111",0.094155,0.0955,"⎛ A ⎞⎛      C,E,G,I      ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
