"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"10000","11111","11111","11111",0.375,0.002791,0.003018,0.003018,0.0,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"10000","11111","11111","01110",0.0,0.002007,0.002262,0.002262,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝  B,C,D  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"10000","11111","11111","01010",0.0,0.001519,0.001733,0.001733,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝   B,D   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"10000","11111","11111","10101",0.0,0.00159,0.001809,0.001809,0.0,0.0,0.0,"⎛ D,E ⎞⎛ A,B,C ⎞\n⎝  E  ⎠⎝  A,C  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"10000","11111","01110","11111",0.4375,0.002614,0.002699,0.002699,0.0,1.965,0.0,"⎛ D ⎞⎛   B,C   ⎞\n⎝ C ⎠⎝ A,B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"10000","11111","01110","01110",0.0,0.002298,0.002389,0.002389,0.0,0.0,0.0,"⎛ D ⎞⎛  B,C  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"10000","11111","01110","01010",0.0,0.00151,0.001694,0.001694,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"10000","11111","01110","10101",0.0,0.001994,0.002154,0.0,0.002154,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ E ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"10000","11111","01010","11111",0.0,0.001697,0.001821,0.001771,5e-05,0.0,0.0,"⎛ ∅ ⎞⎛   B,D   ⎞\n⎝ A ⎠⎝ B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"10000","11111","01010","01110",0.0,0.001357,0.001482,0.001482,0.0,0.0,0.0,"⎛ D ⎞⎛   B   ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"10000","11111","01010","01010",0.0,0.01255,0.012809,0.012787,2.2e-05,0.0,0.0,"⎛ D ⎞⎛  B  ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
11,"10000","11111","01010","10101",0.0,0.00127,0.001392,0.001392,0.0,0.0,0.0,"⎛ D ⎞⎛  B  ⎞\n⎝ E ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
12,"10000","11111","10101","11111",0.375,0.00243,0.002579,0.002579,0.0,0.0,0.0,"⎛ E ⎞⎛    A,C    ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
13,"10000","11111","10101","01110",0.125,0.001545,0.001714,0.001714,0.0,0.0,0.0,"⎛ E ⎞⎛  A,C  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
14,"10000","11111","10101","01010",0.03125,0.007401,0.007618,0.003752,0.003866,0.0,0.0,"⎛ C ⎞⎛ A,E ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
15,"10000","11111","10101","10101",0.0,0.01278,0.013006,0.012996,1e-05,0.0,0.0,"⎛ C ⎞⎛ A,E ⎞\n⎝ A ⎠⎝ C,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
16,"10000","01111","11111","11111",0.3125,0.008097,0.008236,0.008236,0.0,0.0,0.0,"⎛ E ⎞⎛  B,C,D  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
17,"10000","01111","11111","01110",0.125,0.003017,0.003239,0.0,0.003239,0.0,0.0,"⎛ B ⎞⎛ C,D,E ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
18,"10000","01111","11111","01010",0.0625,0.002012,0.00225,0.002188,6.2e-05,0.0,0.0,"⎛ E ⎞⎛ B,C,D ⎞\n⎝ ∅ ⎠⎝  B,D  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
19,"10000","01111","11111","10101",0.0,0.013449,0.013705,0.013657,4.8e-05,0.0,0.0,"⎛ C ⎞⎛ B,D,E ⎞\n⎝ ∅ ⎠⎝  C,E  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
20,"10000","01111","01110","11111",0.5,0.001429,0.001492,0.001492,0.0,0.0,0.0,"⎛ D ⎞⎛  B,C  ⎞\n⎝ C ⎠⎝ B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
21,"10000","01111","01110","01110",0.125,0.00115,0.00127,0.00127,0.0,0.0,0.0,"⎛ B ⎞⎛  C,D  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
22,"10000","01111","01110","01010",0.125,0.010197,0.010329,0.010317,1.2e-05,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
23,"10000","01111","01110","10101",0.0,0.00182,0.002009,0.001993,1.6e-05,0.0,0.0,"⎛ C ⎞⎛ B,D ⎞\n⎝ ∅ ⎠⎝ C,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
24,"10000","01111","01010","11111",0.5,0.002302,0.002385,0.002385,0.0,0.0,0.0,"⎛ D ⎞⎛   B   ⎞\n⎝ C ⎠⎝ B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
