"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"10000","11111","11111","11111",0.375,0.001229,0.001274,0.00124,3.4e-05,0.004,0.0,"⎛ E ⎞⎛  A,B,C,D  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"10000","11111","11111","01110",0.0,0.001041,0.001125,0.001125,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝  B,C,D  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"10000","11111","11111","01010",0.0,0.000963,0.001003,0.001003,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝   B,D   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"10000","11111","11111","10101",0.0,0.021826,0.022089,0.022087,2e-06,0.0,0.0,"⎛ A,B,C,E ⎞⎛ D ⎞\n⎝   A,C   ⎠⎝ E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"10000","11111","01110","11111",0.4375,0.001764,0.001985,0.001985,0.0,0.0,0.0,"⎛ D ⎞⎛   B,C   ⎞\n⎝ C ⎠⎝ A,B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"10000","11111","01110","01110",0.0,0.001049,0.001279,0.001263,1.6e-05,0.0,0.0,"⎛ D ⎞⎛  B,C  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"10000","11111","01110","01010",0.0,0.001011,0.001261,0.001261,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"10000","11111","01110","10101",0.0,0.001718,0.001889,0.001879,1e-05,0.004,0.0,"⎛ B,C ⎞⎛ D ⎞\n⎝ A,C ⎠⎝ E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"10000","11111","01010","11111",0.0,0.020229,0.020672,0.020672,0.0,0.0,0.0,"⎛ ∅ ⎞⎛   B,D   ⎞\n⎝ A ⎠⎝ B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"10000","11111","01010","01110",0.0,0.006455,0.006663,0.006619,4.4e-05,0.0,0.0,"⎛ D ⎞⎛   B   ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
10,"10000","11111","01010","01010",0.0,0.00759,0.007837,0.007837,0.0,0.0,0.0,"⎛ D ⎞⎛  B  ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
11,"10000","11111","01010","10101",0.0,0.009258,0.009584,0.009584,0.0,0.0,0.0,"⎛  B  ⎞⎛ D ⎞\n⎝ A,C ⎠⎝ E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
12,"10000","11111","10101","11111",0.375,0.006893,0.007073,0.003123,0.00395,0.0,0.0,"⎛ E ⎞⎛    A,C    ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
13,"10000","11111","10101","01110",0.125,0.002027,0.002169,0.002169,0.0,0.0,0.0,"⎛ E ⎞⎛  A,C  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
14,"10000","11111","10101","01010",0.03125,0.003448,0.003688,0.003688,0.0,0.0,0.0,"⎛ C ⎞⎛ A,E ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
15,"10000","11111","10101","10101",0.0,0.002579,0.002785,0.002785,0.0,0.0,0.0,"⎛ C ⎞⎛ A,E ⎞\n⎝ A ⎠⎝ C,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
16,"10000","01111","11111","11111",0.3125,0.001865,0.002056,0.002056,0.0,0.0,0.0,"⎛ E ⎞⎛  B,C,D  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
17,"10000","01111","11111","01110",0.125,0.009354,0.009574,0.009574,0.0,0.0,0.0,"⎛ B ⎞⎛ C,D,E ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
18,"10000","01111","11111","01010",0.0625,0.002044,0.002186,0.002186,0.0,0.0,0.0,"⎛ E ⎞⎛ B,C,D ⎞\n⎝ ∅ ⎠⎝  B,D  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
19,"10000","01111","11111","10101",0.0,0.008688,0.008979,0.008953,2.6e-05,0.0,0.0,"⎛ C ⎞⎛ B,D,E ⎞\n⎝ ∅ ⎠⎝  C,E  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
20,"10000","01111","01110","11111",0.5,0.00253,0.002676,0.002676,0.0,0.0,0.0,"⎛ D ⎞⎛  B,C  ⎞\n⎝ C ⎠⎝ B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
21,"10000","01111","01110","01110",0.125,0.002002,0.002204,0.002189,1.5e-05,0.0,0.0,"⎛ B ⎞⎛  C,D  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
22,"10000","01111","01110","01010",0.125,0.007956,0.008182,0.008182,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
23,"10000","01111","01110","10101",0.0,0.002086,0.002246,0.002194,5.2e-05,0.0,0.0,"⎛ C ⎞⎛ B,D ⎞\n⎝ ∅ ⎠⎝ C,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
24,"10000","01111","01010","11111",0.5,0.005151,0.005416,0.005416,0.0,0.0,0.0,"⎛ D ⎞⎛   B   ⎞\n⎝ C ⎠⎝ B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
