"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
0,"10000","11111","11111","11111",0.375,0.04445,0.044799,0.044766,3.3e-05,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
1,"10000","11111","11111","01110",0.0,0.052683,0.053316,0.053275,4.1e-05,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝  B,C,D  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
2,"10000","11111","11111","01010",0.0,0.041753,0.041953,0.041918,3.5e-05,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ ∅ ⎠⎝   B,D   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
3,"10000","11111","11111","10101",0.0,0.038078,0.038567,0.038481,8.6e-05,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E ⎞\n⎝ E ⎠⎝   A,C   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
4,"10000","11111","01110","11111",0.4375,0.015683,0.015843,0.015843,0.0,0.0,0.0,"⎛ D ⎞⎛   B,C   ⎞\n⎝ C ⎠⎝ A,B,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
5,"10000","11111","01110","01110",0.0,0.033103,0.033349,0.033349,0.0,0.0,0.0,"⎛ D ⎞⎛  B,C  ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
6,"10000","11111","01110","01010",0.0,0.007244,0.007395,0.007395,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ ∅ ⎠⎝ B,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
7,"10000","11111","01110","10101",0.0,0.010388,0.010517,0.010517,0.0,0.0,0.0,"⎛ D ⎞⎛ B,C ⎞\n⎝ E ⎠⎝ A,C ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
8,"10000","11111","01010","11111",0.0,0.013628,0.013835,0.013835,0.0,0.0,0.0,"⎛ ∅ ⎞⎛   B,D   ⎞\n⎝ A ⎠⎝ B,C,D,E ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
9,"10000","11111","01010","01110",0.0,0.00712,0.007157,0.007157,0.0,0.0,0.0,"⎛ D ⎞⎛   B   ⎞\n⎝ ∅ ⎠⎝ B,C,D ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
